Afghanistan,11.0,16.0,4.0,5.0
Albania,3.0,8.0,44.0,4.0
Algeria,14.0,15.0,41.0,22.0
Andorra,2.0,3.0,0.0,0.0
Angola,18.0,32.0,53.0,34.0
Antigua and Barbuda,2.0,3.0,31.0,4.0
Argentina,38.0,52.0,42.0,70.0
Armenia,9.0,14.0,3.0,74.0
Australia,63.0,52.0,125.0,108.0
Austria,3.0,13.0,11.0,17.0
Azerbaijan,8.0,17.0,14.0,44.0
Bahamas,5.0,10.0,43.0,7.0
Bahrain,3.0,7.0,14.0,0.0
Bangladesh,37.0,36.0,29.0,23.0
Barbados,3.0,4.0,29.0,3.0
Belarus,4.0,9.0,2.0,1.0
Belgium,2.0,8.0,13.0,0.0
Belize,10.0,6.0,45.0,46.0
Benin,13.0,12.0,40.0,20.0
Bhutan,25.0,21.0,3.0,43.0
Bolivia,21.0,55.0,8.0,106.0
Bosnia and Herzegovina,4.0,7.0,36.0,3.0
Botswana,11.0,16.0,2.0,3.0
Brazil,80.0,175.0,93.0,558.0
Brunei,33.0,31.0,14.0,127.0
Bulgaria,8.0,17.0,22.0,9.0
Burkina Faso,9.0,12.0,4.0,4.0
Burundi,14.0,15.0,17.0,89.0
Cambodia,39.0,31.0,48.0,37.0
Cameroon,46.0,29.0,122.0,555.0
Canada,18.0,24.0,44.0,18.0
Cape Verde,4.0,7.0,35.0,51.0
Central African Republic,16.0,16.0,3.0,26.0
Chad,16.0,16.0,1.0,6.0
Chile,19.0,35.0,27.0,73.0
China,73.0,96.0,136.0,593.0
Colombia,58.0,126.0,99.0,268.0
Comoros,5.0,14.0,11.0,9.0
Costa Rica,11.0,27.0,64.0,143.0
Cote d'Ivoire,31.0,25.0,59.0,118.0
Croatia,9.0,14.0,64.0,8.0
Cuba,10.0,19.0,44.0,179.0
Cyprus,6.0,7.0,24.0,22.0
Czech Republic,3.0,9.0,2.0,26.0
Dem. Rep. of Congo,32.0,42.0,94.0,148.0
Denmark,2.0,9.0,18.0,1.0
Djibouti,11.0,12.0,23.0,3.0
Dominica,3.0,7.0,31.0,12.0
Dominican Republic,7.0,17.0,29.0,47.0
Ecuador,47.0,106.0,61.0,1860.0
Egypt,18.0,14.0,58.0,8.0
El Salvador,6.0,7.0,17.0,33.0
Equatorial Guinea,23.0,6.0,44.0,98.0
Eritrea,15.0,21.0,29.0,6.0
Estonia,1.0,9.0,5.0,0.0
Eswatini,9.0,13.0,5.0,13.0
Ethiopia,34.0,35.0,14.0,64.0
Fed. Sts. Micronesia,5.0,12.0,25.0,5.0
Fiji,7.0,14.0,20.0,78.0
Finland,2.0,11.0,6.0,2.0
France,9.0,16.0,53.0,47.0
Gabon,18.0,7.0,72.0,173.0
Gambia,10.0,14.0,35.0,6.0
Georgia,9.0,14.0,11.0,63.0
Germany,5.0,11.0,24.0,36.0
Ghana,21.0,23.0,58.0,119.0
Greece,10.0,17.0,80.0,72.0
Grenada,3.0,2.0,29.0,3.0
Guatemala,15.0,17.0,41.0,120.0
Guinea,30.0,20.0,76.0,70.0
Guinea-Bissau,14.0,12.0,41.0,6.0
Guyana,11.0,16.0,33.0,30.0
Haiti,4.0,17.0,30.0,93.0
Honduras,8.0,14.0,45.0,134.0
Hungary,3.0,13.0,9.0,43.0
Iceland,6.0,7.0,16.0,0.0
India,93.0,93.0,227.0,396.0
Indonesia,191.0,160.0,166.0,458.0
Iran,18.0,28.0,47.0,7.0
Iraq,13.0,17.0,19.0,2.0
Ireland,5.0,9.0,28.0,3.0
Israel,15.0,18.0,50.0,23.0
Italy,8.0,17.0,52.0,102.0
Jamaica,7.0,11.0,30.0,215.0
